#Gene_name	pLi	pRec	pNull	Gene_full_name	Function_description	Disease_description	Tissue_specificity(Uniprot)	Expression(egenetics)	Expression(GNF/Atlas)	P(HI)	P(rec)	RVIS	RVIS_percentile	GDI	GDI-Phred
ADAM20P1	.	.	.	ADAM metallopeptidase domain 20 pseudogene 1	.	.	.	.	.	.	.	.	.	.	.
ADAM20P2	.	.	.	ADAM metallopeptidase domain 20 pseudogene 2	.	.	.	.	.	.	.	.	.	.	.
ADAM20P3	.	.	.	ADAM metallopeptidase domain 20 pseudogene 3	.	.	.	.	.	.	.	.	.	.	.
ADAM21	0.0146728762806569	0.957258247949801	0.0280688757695424	ADAM metallopeptidase domain 21	FUNCTION: May be involved in sperm maturation and/or fertilization. May also be involved in epithelia functions associated with establishing and maintaining gradients of ions or nutrients.; 	.	.	bone;testis;	dorsal root ganglion;superior cervical ganglion;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;	.	0.09205	-0.108334733	45.57088936	1492.30576	7.18569
ADAM21P1	.	.	.	ADAM metallopeptidase domain 21 pseudogene 1	.	.	.	.	.	.	0.09205	.	.	.	.
ADAM22	0.999388899396346	0.000611100603435579	2.18704406583797e-13	ADAM metallopeptidase domain 22	FUNCTION: Probable ligand for integrin in the brain. This is a non catalytic metalloprotease-like protein (PubMed:19692335). Involved in regulation of cell adhesion and spreading and in inhibition of cell proliferation. Neuronal receptor for LGI1. {ECO:0000269|PubMed:12589811, ECO:0000269|PubMed:15882968, ECO:0000269|PubMed:16385342, ECO:0000269|PubMed:19692335}.; 	.	TISSUE SPECIFICITY: Highly expressed in the brain and in some high-grade but not low-grade gliomas. Detected slightly or not at all in other tissues. {ECO:0000269|PubMed:16385342}.; 	unclassifiable (Anatomical System);hypothalamus;fovea centralis;choroid;lens;skeletal muscle;skin;retina;optic nerve;lung;frontal lobe;bone;macula lutea;pituitary gland;kidney;brain;	amygdala;dorsal root ganglion;occipital lobe;thalamus;superior cervical ganglion;medulla oblongata;cerebellum peduncles;temporal lobe;caudate nucleus;atrioventricular node;pons;skeletal muscle;subthalamic nucleus;uterus corpus;testis - seminiferous tubule;prefrontal cortex;appendix;globus pallidus;ciliary ganglion;trigeminal ganglion;parietal lobe;cingulate cortex;cerebellum;	0.32606	0.10251	-0.551080959	19.93394669	868.56657	5.74070
ADAM23	0.995404041331662	0.00459595852019307	1.4814439442921e-10	ADAM metallopeptidase domain 23	FUNCTION: May play a role in cell-cell and cell-matrix interactions. This is a non-catalytic metalloprotease-like protein.; 	.	TISSUE SPECIFICITY: Highly expressed in the brain and weakly expressed in the heart. In the brain, expressed prominently in the amygdala, caudate nucleus, hypothalamus, thalamus, cerebral cortex and occipital pole. {ECO:0000269|PubMed:14697522}.; 	unclassifiable (Anatomical System);cerebellum cortex;muscle;substantia nigra;blood;parathyroid;fovea centralis;choroid;lens;skeletal muscle;skin;retina;bone marrow;uterus;optic nerve;lung;frontal lobe;macula lutea;liver;testis;brain;thymus;	amygdala;dorsal root ganglion;superior cervical ganglion;medulla oblongata;occipital lobe;thalamus;temporal lobe;caudate nucleus;pons;atrioventricular node;skeletal muscle;subthalamic nucleus;prefrontal cortex;globus pallidus;ciliary ganglion;trigeminal ganglion;cingulate cortex;parietal lobe;cerebellum;	0.61616	0.08593	-0.044015879	50.44821892	62.38953	1.61345
ADAM24P	.	.	.	ADAM metallopeptidase domain 24, pseudogene	.	.	.	.	.	.	.	.	.	.	.
ADAM28	1.96799528021972e-17	0.0250576248525084	0.974942375147492	ADAM metallopeptidase domain 28	FUNCTION: May play a role in the adhesive and proteolytic events that occur during lymphocyte emigration or may function in ectodomain shedding of lymphocyte surface target proteins, such as FASL and CD40L. May be involved in sperm maturation.; 	.	TISSUE SPECIFICITY: Expressed predominantly in secondary lymphoid tissues, such as lymph node, spleen, small intestine, stomach, colon, appendix and trachea. The lymphocyte population is responsible for expression of this protein in these tissues. Isoform 2 is expressed preferentially in spleen.; 	unclassifiable (Anatomical System);medulla oblongata;lymph node;ovary;colon;parathyroid;blood;pancreas;lung;endometrium;larynx;thyroid;placenta;liver;testis;head and neck;spleen;germinal center;brain;	superior cervical ganglion;lymph node;ciliary ganglion;trigeminal ganglion;	0.14473	0.12451	0.762397607	86.8542109	623.46636	5.03510
ADAM29	4.69432338449837e-07	0.388971687121827	0.611027843445834	ADAM metallopeptidase domain 29	FUNCTION: May be involved in spermatogenesis and fertilization. Seems to be a non catalytic metalloprotease-like protein.; 	.	TISSUE SPECIFICITY: Expressed specifically in testes.; 	testis;kidney;	dorsal root ganglion;testis - interstitial;superior cervical ganglion;testis - seminiferous tubule;testis;atrioventricular node;trigeminal ganglion;skeletal muscle;	0.09089	0.09580	0.113945049	62.14319415	457.13629	4.44060
ADAM30	0.00193807290428196	0.976020330409258	0.02204159668646	ADAM metallopeptidase domain 30	FUNCTION: May be involved in spermatogenesis and fertilization.; 	.	TISSUE SPECIFICITY: Expressed specifically in testis.; 	.	.	0.03172	.	-0.306750577	32.23047889	90.09019	2.04324
ADAM32	1.1677289848388e-08	0.929586071911505	0.0704139164112055	ADAM metallopeptidase domain 32	FUNCTION: May play a role in sperm development and fertilization This is a non-catalytic metalloprotease-like protein. {ECO:0000250}.; 	.	TISSUE SPECIFICITY: Testis specific. {ECO:0000269|PubMed:12568724}.; 	.	.	0.05738	0.07564	0.380318343	75.63104506	768.55107	5.48756
ADAM33	1.31263464951389e-11	0.516330070318339	0.483669929668535	ADAM metallopeptidase domain 33	.	DISEASE: Asthma (ASTHMA) [MIM:600807]: The most common chronic disease affecting children and young adults. It is a complex genetic disorder with a heterogeneous phenotype, largely attributed to the interactions among many genes and between these genes and the environment. It is characterized by recurrent attacks of paroxysmal dyspnea, with wheezing due to spasmodic contraction of the bronchi. {ECO:0000269|PubMed:12110844, ECO:0000269|PubMed:16773130, ECO:0000269|PubMed:19237393}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.; 	TISSUE SPECIFICITY: Expressed in all tissues, except liver, with high expression in placenta, lung, spleen and veins. {ECO:0000269|PubMed:11814695}.; 	unclassifiable (Anatomical System);medulla oblongata;islets of Langerhans;skeletal muscle;retina;uterus;whole body;endometrium;cerebral cortex;thyroid;placenta;liver;spleen;spinal ganglion;stomach;	dorsal root ganglion;superior cervical ganglion;subthalamic nucleus;globus pallidus;ciliary ganglion;atrioventricular node;pons;trigeminal ganglion;parietal lobe;skeletal muscle;	0.11478	0.14638	0.802845857	87.69167256	1650.79695	7.51245
ADAMDEC1	1.76177869055281e-09	0.385126557610553	0.614873440627668	ADAM-like, decysin 1	FUNCTION: May play an important role in the control of the immune response and during pregnancy. {ECO:0000250}.; 	.	TISSUE SPECIFICITY: Expressed highly in the small intestine and appendix, moderately in lymph node, mucosal lining of the colon, thymus, spleen and very weakly in the bone marrow. Predominantly expressed in dendritic cells (DC) of the germinal center. Weakly expressed in monocyte and highly expressed in macrophage. Absent in immature DC. {ECO:0000269|PubMed:14632642, ECO:0000269|PubMed:9271581}.; 	unclassifiable (Anatomical System);pancreas;lymph node;lung;endometrium;nasopharynx;placenta;colon;skeletal muscle;stomach;tonsil;	superior cervical ganglion;appendix;ciliary ganglion;trigeminal ganglion;skeletal muscle;	0.11349	0.10309	1.39815152	94.71573484	845.45549	5.68773
ADAMTS1	0.594872990656586	0.405110032081342	1.69772620719667e-05	ADAM metallopeptidase with thrombospondin type 1 motif 1	FUNCTION: Cleaves aggrecan, a cartilage proteoglycan, and may be involved in its turnover (By similarity). Has angiogenic inhibitor activity. Active metalloprotease, which may be associated with various inflammatory processes as well as development of cancer cachexia. May play a critical role in follicular rupture. {ECO:0000250, ECO:0000269|PubMed:10438512}.; 	.	.	smooth muscle;ovary;sympathetic chain;skin;bone marrow;retina;prostate;optic nerve;frontal lobe;cochlea;endometrium;thyroid;bladder;brain;gall bladder;heart;cartilage;urinary;pharynx;blood;lens;skeletal muscle;visual apparatus;macula lutea;liver;spleen;cervix;mammary gland;peripheral nerve;salivary gland;intestine;colon;parathyroid;fovea centralis;choroid;uterus;whole body;cerebral cortex;bone;testis;spinal ganglion;artery;unclassifiable (Anatomical System);islets of Langerhans;muscle;bile duct;pancreas;lung;placenta;duodenum;amnion;head and neck;kidney;aorta;stomach;	uterus corpus;superior cervical ganglion;ovary;placenta;adrenal cortex;ciliary ganglion;atrioventricular node;trigeminal ganglion;	0.47523	0.16470	0.073492312	59.170795	530.17853	4.69942
ADAMTS2	0.992213475206961	0.00778652425549657	5.37542634593037e-10	ADAM metallopeptidase with thrombospondin type 1 motif 2	FUNCTION: Cleaves the propeptides of type I and II collagen prior to fibril assembly. Does not act on type III collagen. May also play a role in development that is independent of its role in collagen biosynthesis.; 	DISEASE: Ehlers-Danlos syndrome 7C (EDS7C) [MIM:225410]: A connective tissue disorder characterized by hyperextensible skin, atrophic cutaneous scars due to tissue fragility and joint hyperlaxity. Marked by extremely fragile tissues, hyperextensible skin and easy bruising. Facial skin contains numerous folds, as in the cutis laxa syndrome. {ECO:0000269|PubMed:10417273}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	TISSUE SPECIFICITY: Expressed at high level in skin, bone, tendon and aorta and at low levels in thymus and brain.; 	unclassifiable (Anatomical System);smooth muscle;heart;ovary;cartilage;islets of Langerhans;parathyroid;fovea centralis;choroid;lens;skin;retina;uterus;breast;pancreas;optic nerve;cerebral cortex;placenta;bone;macula lutea;kidney;	superior cervical ganglion;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;	0.33346	0.31484	-1.800772772	2.217504128	5065.97781	14.58177
ADAMTS3	1.7895345062741e-06	0.99998581912419	1.23913413032494e-05	ADAM metallopeptidase with thrombospondin type 1 motif 3	FUNCTION: Cleaves the propeptides of type II collagen prior to fibril assembly. Does not act on types I and III collagens.; 	.	TISSUE SPECIFICITY: Found in cartilage and skin.; 	unclassifiable (Anatomical System);bile duct;medulla oblongata;lung;whole body;cerebral cortex;placenta;testis;blood;brain;skeletal muscle;	superior cervical ganglion;trigeminal ganglion;skeletal muscle;	0.22292	0.11688	-0.654057602	16.14177872	316.52138	3.77881
ADAMTS4	0.00546593980671702	0.993483192341882	0.00105086785140109	ADAM metallopeptidase with thrombospondin type 1 motif 4	FUNCTION: Cleaves aggrecan, a cartilage proteoglycan, and may be involved in its turnover. May play an important role in the destruction of aggrecan in arthritic diseases. Could also be a critical factor in the exacerbation of neurodegeneration in Alzheimer disease. Cleaves aggrecan at the '392-Glu-|-Ala-393' site.; 	.	TISSUE SPECIFICITY: Expressed in brain, lung and heart. Expressed at very low level in placenta and skeletal muscles. Isoform 2 is detected in osteoarthritic synovium. {ECO:0000269|PubMed:23897278}.; 	.	.	0.08465	0.19320	0.093718683	60.71007313	450.79979	4.41169
ADAMTS5	0.118850233550657	0.880919637265919	0.000230129183423667	ADAM metallopeptidase with thrombospondin type 1 motif 5	FUNCTION: Cleaves aggrecan, a cartilage proteoglycan, and may be involved in its turnover. May play an important role in the destruction of aggrecan in arthritic diseases. May play a role in proteolytic processing mostly during the peri-implantation period.; 	.	TISSUE SPECIFICITY: Expressed at low level in placenta primarily but also detected in heart and brain, cervix, uterus, bladder, esophagus, rib cartilage, chondroblastoma, fibrous tissue and a joint capsule from an arthritic patient.; 	unclassifiable (Anatomical System);prostate;whole body;ovary;heart;endometrium;placenta;liver;parathyroid;cervix;kidney;mammary gland;skeletal muscle;	uterus corpus;superior cervical ganglion;ciliary ganglion;trigeminal ganglion;	0.37293	0.25159	0.248041348	69.61547535	2503.4233	9.32438
ADAMTS6	0.998800472645028	0.00119952735384065	1.13154764092226e-12	ADAM metallopeptidase with thrombospondin type 1 motif 6	.	.	TISSUE SPECIFICITY: Expressed at low levels in placenta and barely detectable in a number of other tissues.; 	unclassifiable (Anatomical System);heart;colon;skeletal muscle;skin;bile duct;uterus;whole body;lung;placenta;liver;testis;spleen;brain;	superior cervical ganglion;trigeminal ganglion;skeletal muscle;	0.43090	0.11953	-0.574945567	18.90186365	218.20018	3.19214
ADAMTS7	2.98948787387487e-07	0.999966964385075	3.27366661373355e-05	ADAM metallopeptidase with thrombospondin type 1 motif 7	FUNCTION: Metalloprotease that may play a role in the degradation of COMP. {ECO:0000269|PubMed:16585064}.; 	.	TISSUE SPECIFICITY: Expressed in heart, brain, placenta, lung, liver, skeletal muscle, kidney and pancreas. Detected in meniscus, bone, tendon, cartilage, synovium, fat and ligaments. {ECO:0000269|PubMed:15192113, ECO:0000269|PubMed:16585064}.; 	.	.	0.12246	0.11080	2.519370135	98.68483133	1800.79348	7.82795
ADAMTS7P1	.	.	.	ADAMTS7 pseudogene 1	.	.	.	.	.	.	.	.	.	.	.
ADAMTS7P3	.	.	.	ADAMTS7 pseudogene 3	.	.	.	.	.	.	.	.	.	.	.
ADAMTS7P4	.	.	.	ADAMTS7 pseudogene 4	.	.	.	.	.	.	.	.	.	.	.
ADAMTS8	1.0556522196896e-08	0.519106063434829	0.480893926008649	ADAM metallopeptidase with thrombospondin type 1 motif 8	FUNCTION: Has anti-angiogenic properties.; 	.	TISSUE SPECIFICITY: Highly expressed in adult and fetal lung, lower expression in brain, placenta, heart, stomach and fetal brain and kidney.; 	unclassifiable (Anatomical System);heart;cartilage;colon;fovea centralis;choroid;lens;skin;retina;uterus;pancreas;prostate;optic nerve;lung;endometrium;placenta;macula lutea;liver;testis;spleen;brain;	superior cervical ganglion;skeletal muscle;	0.26967	0.12334	0.672386703	84.73696627	4169.48922	12.82299
